item_id,m1_speckle,m2_boundary_bleed,m3_spurious_patch,m4_paved_swap,m5_road_continuation,m6_veg_occlusion,m7_misregistration,m8_large_object,m9_other,dominant_mode,note
0032,0,1,1,1,1,1,0,1,0,m2_boundary_bleed,
0033,0,1,1,0,0,0,0,0,1,m2_boundary_bleed,[miss] missed prediction
0034,0,1,1,0,1,1,0,0,0,m6_veg_occlusion,
0035,0,0,0,0,0,0,0,0,0,none,
0036,0,0,1,1,0,1,0,0,0,m3_spurious_patch,
0037,0,1,1,1,1,1,0,0,0,m2_boundary_bleed,
0038,1,1,1,1,1,1,0,1,0,m3_spurious_patch,
0039,0,1,1,1,0,0,0,0,0,m3_spurious_patch,
0040,0,1,1,0,1,0,0,0,0,m2_boundary_bleed,
0041,0,0,0,0,0,0,0,0,0,none,
0042,0,1,1,1,1,0,0,0,0,m2_boundary_bleed,
0043,0,1,1,1,1,0,0,0,0,m3_spurious_patch,
0044,0,1,1,1,1,0,0,0,1,m3_spurious_patch,[miss] missed prediction
0045,0,0,1,1,0,0,0,0,1,m3_spurious_patch,[miss] missed prediction
0046,0,0,0,0,0,0,0,0,0,none,
0047,1,1,1,1,1,0,0,0,1,m3_spurious_patch,[miss] missed prediction
0048,0,1,0,0,1,0,0,0,0,m5_road_continuation,
0049,0,1,0,0,1,0,0,0,0,m2_boundary_bleed,
0050,0,1,1,1,1,0,0,0,0,m3_spurious_patch,
0051,0,0,1,1,0,0,0,0,0,m4_paved_swap,
0052,0,0,0,0,0,0,0,0,0,none,
0053,0,0,0,0,0,0,0,0,0,none,
0054,0,0,0,0,0,0,0,0,0,none,
0055,0,0,0,0,0,1,0,0,0,m6_veg_occlusion,
0056,0,0,0,0,0,0,0,0,0,none,
0057,1,0,1,0,1,0,0,0,1,m3_spurious_patch,[miss] missed prediction
0058,1,0,1,0,1,0,0,0,1,m3_spurious_patch,[miss] missed prediction
0059,0,1,1,1,0,0,0,0,0,m2_boundary_bleed,
0060,1,1,1,1,1,0,0,0,0,m2_boundary_bleed,
0061,0,1,1,1,1,0,0,0,0,m2_boundary_bleed,
0062,0,1,1,0,1,0,0,0,0,m3_spurious_patch,
0063,0,1,1,0,1,0,0,1,0,m2_boundary_bleed,
0064,0,0,0,0,0,0,0,0,0,none,
0065,0,1,0,0,1,1,0,1,0,m2_boundary_bleed,
0066,0,1,0,1,1,0,0,0,0,m5_road_continuation,
0067,0,1,1,1,1,0,0,0,0,m2_boundary_bleed,
0068,0,1,0,0,1,1,0,0,0,m2_boundary_bleed,
0069,0,0,0,1,0,0,0,0,0,m4_paved_swap,
0070,0,1,1,1,0,0,0,0,0,m3_spurious_patch,
0071,0,0,0,0,0,0,0,0,0,none,
0072,0,0,0,1,0,0,0,0,1,m4_paved_swap,[miss] missed prediction
0073,0,0,0,0,0,0,0,0,1,m9_other,gets the annotated areas right but have some spurious patches
0074,0,0,0,0,0,0,0,0,0,none,
0075,0,0,1,1,1,0,0,0,1,m3_spurious_patch,[miss] missed prediction
0076,0,1,0,1,1,0,0,0,0,m4_paved_swap,
0077,0,0,0,0,0,0,0,0,0,not_assessable,[mismatch]
0078,0,1,1,1,1,0,0,0,0,m2_boundary_bleed,
0079,1,0,1,1,1,0,0,0,0,m3_spurious_patch,
0080,0,0,0,0,0,0,0,0,0,none,
0081,0,0,0,0,0,0,0,0,0,none,
0082,0,0,0,0,0,0,0,0,0,none,
0083,0,1,1,0,1,0,0,0,0,m2_boundary_bleed,
0084,0,0,0,0,0,0,0,0,0,none,
0085,0,1,0,0,0,0,0,0,0,m2_boundary_bleed,
0086,0,0,0,1,0,0,0,0,0,m4_paved_swap,
0087,0,0,0,1,0,0,0,0,0,m4_paved_swap,
0088,0,1,0,0,1,0,0,0,0,m5_road_continuation,
0089,0,0,0,0,0,0,0,0,0,none,
0090,0,1,1,1,1,0,0,0,0,m2_boundary_bleed,
0091,0,0,0,0,0,0,0,0,0,none,
0092,0,1,0,0,1,0,0,0,0,m2_boundary_bleed,
0093,0,1,0,0,1,0,0,0,0,m2_boundary_bleed,
0094,0,1,0,0,1,1,0,0,0,m2_boundary_bleed,
0095,0,1,0,1,0,0,0,1,0,m2_boundary_bleed,
0096,0,1,1,0,1,0,0,0,0,m2_boundary_bleed,
0097,0,1,0,1,1,0,0,0,0,m5_road_continuation,
0098,0,0,0,0,0,0,0,0,0,none,[unannot]
0099,1,1,1,1,1,0,0,0,0,m1_speckle,
0100,0,0,1,1,0,0,0,0,0,m4_paved_swap,
0101,0,1,1,1,1,0,0,0,0,m3_spurious_patch,
0102,0,1,0,0,0,0,0,0,0,m2_boundary_bleed,
0103,0,0,0,0,0,0,0,0,0,none,
0104,0,0,0,0,0,0,0,0,0,none,
0105,0,1,0,0,0,0,0,0,0,m2_boundary_bleed,
0106,0,1,0,0,0,0,0,0,0,m2_boundary_bleed,
0107,0,1,1,1,1,0,0,0,0,m4_paved_swap,
0108,0,1,1,0,1,0,0,0,0,m2_boundary_bleed,
0109,0,1,1,0,1,0,0,0,0,m2_boundary_bleed,
0110,0,1,1,0,1,0,0,0,0,m3_spurious_patch,
0111,0,1,1,0,1,0,0,0,0,m2_boundary_bleed,
0112,0,1,0,0,1,0,0,0,0,m2_boundary_bleed,
0113,0,1,1,1,1,0,0,0,0,m2_boundary_bleed,
0114,0,0,0,0,0,0,0,0,1,m9_other,gets the annotated areas right but have some spurious patches
0115,0,0,0,0,0,0,0,0,0,none,
0116,0,1,0,0,0,1,0,0,0,m2_boundary_bleed,
0117,0,0,1,1,0,0,0,0,0,m4_paved_swap,
0118,0,1,1,1,1,0,0,0,1,m2_boundary_bleed,"bleeds on the annotated area, but is more spurious "
0119,1,1,1,0,1,0,0,0,0,m3_spurious_patch,
0120,0,0,1,1,1,0,0,0,0,m3_spurious_patch,
0121,0,0,0,0,0,0,0,0,0,none,
0122,1,0,1,1,1,0,0,0,0,m1_speckle,
0123,0,0,0,0,0,0,0,0,0,none,
0124,0,0,0,0,0,0,0,0,0,none,
0125,0,1,1,0,1,1,0,0,0,m6_veg_occlusion,
0126,0,0,0,0,0,0,0,0,0,none,
0127,1,0,1,1,1,0,0,0,0,m1_speckle,
0128,0,0,0,0,0,0,0,0,0,none,
0129,0,0,0,0,0,1,0,0,0,m6_veg_occlusion,
0130,1,0,1,1,0,0,0,0,0,m1_speckle,
0131,0,0,0,0,0,0,0,0,1,m9_other,[miss] missed prediction
0132,1,0,0,1,0,0,0,0,0,m1_speckle,
0133,0,1,1,1,1,0,0,0,0,m2_boundary_bleed,
0134,0,0,0,0,0,0,0,0,0,none,
0135,1,0,1,1,1,0,0,0,0,m3_spurious_patch,
0136,1,1,1,1,0,0,0,0,0,m3_spurious_patch,
0137,1,1,1,1,1,0,0,0,0,m1_speckle,
0138,0,1,1,0,1,0,0,0,0,m2_boundary_bleed,
0139,0,0,0,0,0,1,0,0,0,m6_veg_occlusion,
0140,0,1,1,0,0,0,0,0,0,m3_spurious_patch,
0141,0,0,0,0,0,0,0,0,0,none,
0142,0,1,1,1,0,0,0,0,0,m3_spurious_patch,
0143,0,0,1,1,0,0,0,0,0,m3_spurious_patch,
0144,0,1,1,0,1,0,0,0,0,m2_boundary_bleed,
0145,0,0,0,0,1,1,0,0,0,m6_veg_occlusion,
0146,0,0,0,1,0,0,0,0,0,m4_paved_swap,
0147,0,1,0,0,1,0,0,0,0,m2_boundary_bleed,
0148,0,1,1,1,1,0,0,0,0,m2_boundary_bleed,
0149,0,1,0,1,1,0,0,0,0,m2_boundary_bleed,
0150,0,1,0,0,1,0,0,0,0,m2_boundary_bleed,
0151,0,1,1,0,1,0,0,0,0,m2_boundary_bleed,
0152,0,0,0,0,0,0,0,0,0,none,
0153,0,0,0,0,0,0,0,0,0,none,
0154,0,0,1,1,1,0,0,0,0,m3_spurious_patch,
0155,0,1,1,0,1,0,0,0,0,m5_road_continuation,
0156,0,0,0,0,0,0,0,0,0,none,
0157,0,0,0,0,0,0,0,0,0,none,
0158,0,1,1,1,0,0,0,0,0,m4_paved_swap,
0159,0,1,1,0,1,0,0,0,0,m5_road_continuation,
0160,0,0,0,0,0,0,0,0,0,none,
0161,0,1,0,0,0,0,0,0,0,m2_boundary_bleed,
0162,0,0,0,0,0,0,0,0,0,none,
0163,0,1,1,1,1,0,0,0,0,m4_paved_swap,
0164,0,1,1,1,0,0,0,0,0,m3_spurious_patch,
0165,0,1,1,0,1,0,0,0,0,m2_boundary_bleed,
0166,0,0,0,0,0,0,0,0,0,none,
0167,0,0,0,0,0,0,0,0,0,none,
0168,1,1,1,1,1,0,0,0,0,m1_speckle,
0169,0,1,0,0,1,0,0,0,0,m2_boundary_bleed,
0170,0,1,1,1,1,0,0,0,0,m5_road_continuation,
0171,0,0,1,1,1,0,0,0,0,m3_spurious_patch,
0172,0,1,0,1,1,0,0,0,0,m4_paved_swap,
0173,0,0,0,0,0,0,0,0,0,none,
0174,1,0,1,1,0,0,0,0,0,m1_speckle,
0175,0,0,1,1,0,0,0,0,0,m4_paved_swap,
0176,0,0,0,0,0,0,0,0,0,none,
0177,0,0,1,0,0,0,0,0,0,m3_spurious_patch,
0178,0,1,0,0,1,0,0,0,0,m5_road_continuation,
0179,1,0,1,0,0,0,0,0,0,m1_speckle,
0180,1,0,1,0,0,0,0,0,0,m1_speckle,
0181,0,0,0,1,0,0,0,0,0,m4_paved_swap,
0182,0,0,0,1,1,0,0,0,0,m4_paved_swap,
0183,0,0,1,1,1,0,0,0,0,m5_road_continuation,
0184,0,0,0,0,0,0,0,0,0,none,[unannot]
0185,0,1,1,0,1,1,0,1,0,m2_boundary_bleed,
0186,0,0,0,0,0,0,0,0,0,none,
0187,0,0,0,0,0,0,0,0,0,none,
0188,0,1,0,0,1,0,0,0,0,m5_road_continuation,
0189,0,1,0,1,1,0,0,0,0,m2_boundary_bleed,
0190,0,1,1,0,1,0,0,0,0,m2_boundary_bleed,
0191,0,0,0,0,0,0,0,0,0,none,
0192,0,1,0,0,1,0,0,0,0,m5_road_continuation,
