filename,route,fold,stratum,px_green_roof,px_drivhus,px_betonflade,px_brosten,n_scored_px,n_classes_present
O2021_84_40_1_0039_00062715_6000_0.tif,84-40,0,complement,0,0,0,0,209275,3
O2023_84_40_1_0152_00103353_6000_1000.tif,84-40,0,complement,0,0,0,0,642412,2
O2023_84_40_1_0144_00111226_1000_6000.tif,84-40,0,complement,0,0,0,0,25710,1
O2021_82_13_1_0025_00144232_5000_2000.tif,82-13,1,weak_present,0,0,170567,0,1000000,3
O2021_83_25_1_0026_00001209_4000_0.tif,83-25,1,weak_present,0,1153,0,0,611378,5
O2021_82_21_1_0005_00001868_11000_1000.tif,82-21,1,weak_present,0,0,0,1862,294083,4
O2021_83_25_1_0026_00001208_3000_6000.tif,83-25,1,weak_present,0,0,0,2586,714670,5
O2021_82_13_1_0025_00144218_5000_4000.tif,82-13,1,weak_present,0,0,59288,0,999720,3
O2021_83_25_1_0026_00001208_4000_3000.tif,83-25,1,weak_present,0,3089,0,0,331954,4
O2021_82_21_1_0004_00002040_13000_3000.tif,82-21,1,weak_present,0,723,0,0,368911,5
O2021_82_21_1_0005_00001868_3000_1000.tif,82-21,1,weak_present,0,0,0,6308,473969,5
O2021_83_25_1_0025_00001595_10000_7000.tif,83-25,1,weak_present,0,531,0,0,208742,4
O2021_83_25_1_0026_00001209_1000_1000.tif,83-25,1,weak_present,0,1313,0,0,573833,5
O2021_82_13_1_0024_00141805_8160_2000.tif,82-13,1,weak_present,0,0,39622,0,722406,4
O2021_82_13_1_0026_00144935_5000_2000.tif,82-13,1,weak_present,0,0,88214,0,179940,3
O2021_82_13_1_0025_00144223_5000_0.tif,82-13,1,weak_present,0,0,47247,0,999281,2
O2021_82_13_1_0026_00144938_2000_3000.tif,82-13,1,weak_present,0,0,19157,0,324006,2
O2021_83_25_1_0025_00001595_9000_5000.tif,83-25,1,weak_present,0,2165,0,0,712327,5
O2021_82_13_1_0025_00144229_6000_3000.tif,82-13,1,weak_present,0,0,213398,0,1000000,2
O2021_82_21_1_0004_00002039_15000_0.tif,82-21,1,complement,0,0,0,0,582698,3
O2021_83_25_1_0022_00002143_9980_7000.tif,83-25,1,complement,0,0,0,0,1000000,1
O2021_83_25_1_0024_00001858_0_1000.tif,83-25,1,complement,0,0,0,0,1000000,1
O2021_82_11_1_0025_00003597_3000_3000.tif,82-11,1,complement,0,0,0,0,998555,1
O2021_83_25_1_0015_00003912_10000_4000.tif,83-25,1,complement,0,0,0,0,762161,1
O2021_82_21_1_0004_00002040_13000_6000.tif,82-21,1,complement,0,0,0,0,536550,3
O2021_83_25_1_0027_00001529_0_7000.tif,83-25,1,complement,0,0,0,0,1000000,1
O2021_83_25_1_0015_00003910_10030_4000.tif,83-25,1,complement,0,0,0,0,745000,1
O2021_82_13_1_0026_00144941_3000_2000.tif,82-13,1,complement,0,0,0,0,27,1
O2021_83_25_1_0016_00002732_0_1000.tif,83-25,1,complement,0,0,0,0,1000000,1
O2021_83_25_1_0022_00002149_9970_5000.tif,83-25,1,complement,0,0,0,0,1000000,1
O2021_83_25_1_0015_00003910_7000_3000.tif,83-25,1,complement,0,0,0,0,1000000,1
O2021_82_13_1_0024_00141749_5000_1000.tif,82-13,1,complement,0,0,0,0,1000000,2
O2021_82_11_1_0023_00003029_8000_2000.tif,82-11,1,complement,0,0,0,0,1000000,1
O2021_83_25_1_0023_00001887_3000_3000.tif,83-25,1,complement,0,0,0,0,1000000,1
O2021_83_25_1_0023_00001880_10000_2000.tif,83-25,1,complement,0,0,0,0,1000000,1
O2023_82_24_1_0012_00000541_0_11000.tif,82-24,2,weak_present,0,0,0,94518,279141,4
O2021_82_19_1_0024_00005012_0_3000.tif,82-19,2,weak_present,0,692,0,0,579062,4
O2023_82_24_1_0012_00000539_3000_0.tif,82-24,2,weak_present,0,0,0,3963,160475,4
O2023_82_24_1_0012_00000542_1000_6000.tif,82-24,2,weak_present,0,0,0,54090,296646,4
O2021_82_20_1_0024_00005078_6000_1000.tif,82-20,2,weak_present,0,539,0,2901,300298,6
O2021_82_24_1_0021_00002048_0_4000.tif,82-24,2,weak_present,0,0,0,90793,394097,5
O2021_82_20_1_0024_00005078_4000_4000.tif,82-20,2,weak_present,0,327,0,0,383415,5
O2023_82_24_1_0012_00000540_3000_6000.tif,82-24,2,weak_present,0,0,0,2149,216727,4
O2021_82_24_1_0021_00002045_3000_1000.tif,82-24,2,weak_present,0,0,0,56327,385692,4
O2021_82_19_1_0023_00005470_3000_2000.tif,82-19,2,weak_present,0,303,0,0,173936,4
O2021_82_24_1_0020_00004287_4000_2000.tif,82-24,2,weak_present,0,0,0,1463,479514,5
O2021_82_24_1_0021_00002047_2000_0.tif,82-24,2,weak_present,0,0,0,411,475113,4
O2021_82_24_1_0021_00002046_5000_1000.tif,82-24,2,weak_present,0,0,0,44677,332359,4
O2023_82_24_1_0012_00000540_0_6000.tif,82-24,2,weak_present,0,0,0,52997,91465,3
O2023_82_24_1_0011_00000390_7000_5000.tif,82-24,2,weak_present,0,0,0,119428,470930,3
O2023_82_24_1_0012_00000539_2000_1000.tif,82-24,2,weak_present,0,0,0,16578,84890,3
O2023_85_45_1_0025_00001590_2000_6000.tif,85-45,2,complement,0,0,0,0,337658,2
O2021_83_26_1_0013_00001590_0_3000.tif,83-26,2,complement,0,0,0,0,1000000,2
O2023_82_24_1_0014_00000745_9000_2000.tif,82-24,2,complement,0,0,0,0,642690,3
O2021_83_26_1_0013_00001596_2000_6000.tif,83-26,2,complement,0,0,0,0,432569,1
O2023_82_24_1_0011_00000395_16960_1000.tif,82-24,2,complement,0,0,0,0,298573,3
O2021_82_22_1_0030_00000259_5000_5000.tif,82-22,2,complement,0,0,0,0,764407,4
O2021_82_22_1_0030_00000262_8000_5000.tif,82-22,2,complement,0,0,0,0,993807,2
O2023_82_24_1_0012_00000537_6000_3000.tif,82-24,2,complement,0,0,0,0,138183,3
O2023_85_45_1_0026_00002354_2000_5000.tif,85-45,2,complement,0,0,0,0,72709,1
O2021_82_16_1_0028_00005674_10cm_1000_1000.tif,82-16,2,complement,0,0,0,0,996271,1
O2021_82_24_1_0023_00001726_10cm_7000_1000.tif,82-24,2,complement,0,0,0,0,217957,1
O2021_82_22_1_0031_00000383_2000_5000.tif,82-22,2,complement,0,0,0,0,86388,4
O2021_83_26_1_0014_00001455_6000_2000.tif,83-26,2,complement,0,0,0,0,1000000,1
O2021_83_26_1_0013_00001590_3000_3000.tif,83-26,2,complement,0,0,0,0,1000000,1
O2023_85_45_1_0026_00002352_3000_7000.tif,85-45,2,complement,0,0,0,0,22869,2
O2021_82_19_1_0023_00005474_7000_4000.tif,82-19,2,complement,0,0,0,0,734221,3
